zip,cbsa
56225,99999
60403,16980
56544,99999
56544,22260
56570,99999
56621,99999
56621,24220
60475,16980
61778,99999
62083,45380
62083,99999
62236,41180
61568,37900
60514,16980
61865,19180
62016,99999
62024,41180
61362,36837
62370,99999
62380,22800
60046,16980
60033,40420
60033,16980
60110,16980
60108,16980
60118,16980
62964,99999
62674,41180
62674,27300
62448,99999
62560,99999
62560,41180
62531,45380
60098,16980
60077,16980
62871,99999
60188,16980
60174,16980
61080,40420
60804,16980
61016,40420
63074,41180
60661,16980
60714,16980
60617,16980
63139,41180
63144,41180
64154,28140
64763,99999
64740,99999
64790,99999
63532,99999
64465,28140
64638,99999
64457,41140
64457,32340
64014,28140
64867,27900
64867,99999
66075,28140
65791,48460
65791,99999
66030,28140
65773,99999
65321,28140
65321,32180
65284,17860
65284,33020
65350,99999
65350,42740
65350,17860
66210,28140
66285,28140
67001,48620
67017,48620
67074,48620
66952,99999
70555,29180
70611,27660
70611,29340
70544,34020
70544,29180
70113,35380
67547,99999
67361,99999
67351,17700
67351,37660
67575,99999
67353,99999
67117,48620
70471,35380
70510,29180
70502,29180
67854,99999
67859,30580
67671,25700
72013,99999
71740,31620
71129,43340
71149,43340
70817,12940
72023,30780
72031,99999
72086,99999
72086,30780
72039,99999
72039,30780
72443,37500
72429,27860
73055,30020
73055,36420
73055,20340
73068,36420
73065,36420
73538,30020
72946,22900
72687,99999
72687,25460
72760,22220
72635,34260
72629,99999
72908,22900
72843,99999
72843,40780
73742,21420
73742,36420
73742,99999
73703,21420
73632,99999
74859,46140
74859,99999
74860,99999
75033,19100
75023,19100
74447,99999
74447,46140
74540,99999
74028,36420
74028,46140
74051,46140
74051,12780
74881,36420
75061,19100
75043,19100
75119,18620
75119,19100
75457,99999
75457,44860
75451,99999
75451,34420
75451,30980
75644,34420
75644,30980
75691,99999
75691,30980
75651,30980
75651,99999
76051,19100
76164,19100
75789,46340
75789,30980
75789,27380
76006,19100
75980,99999
75980,31260
76009,19100
76371,99999
76676,99999
77226,26420
77289,26420
77015,26420
77014,26420
77703,13140
77986,99999
78130,41700
78130,12420
78148,41700
78602,12420
76531,99999
78228,41700
76933,99999
76832,99999
78626,12420
78613,12420
78631,99999
78631,28500
78631,23240
79345,31180
79345,99999
79756,99999
79766,36220
79766,99999
79766,33260
79029,20300
79029,99999
78717,12420
78731,12420
79528,99999
79409,31180
79535,45020
78751,12420
78741,12420
80487,44460
80102,19740
80928,17820
81069,99999
