zipcode,state,total_pop,avg_income
72207,AR,5330,176101.69
72209,AR,11950,29297.32
72210,AR,7020,60079.06
72211,AR,11130,82937.83
72212,AR,5780,146135.29
72223,AR,11340,151977.87
72227,AR,5370,87983.43
72301,AR,9560,37469.25
72315,AR,7750,45881.55
72324,AR,770,44102.6
72326,AR,850,42903.53
72327,AR,610,50224.59
72330,AR,190,39589.47
72331,AR,870,31144.83
72333,AR,300,39856.67
72335,AR,4910,36084.52
72342,AR,1440,44064.58
72346,AR,200,36015.0
72347,AR,240,39358.33
72348,AR,750,41465.33
72350,AR,310,39651.61
72354,AR,820,42602.44
72355,AR,830,43319.28
72358,AR,430,32655.81
72360,AR,1970,38626.9
72364,AR,6930,60980.52
72365,AR,1060,40880.19
72366,AR,690,44346.38
72368,AR,360,55275.0
72370,AR,2750,41104.73
72372,AR,690,42582.61
72373,AR,410,29351.22
72374,AR,250,41412.0
72376,AR,660,51742.42
72384,AR,290,35375.86
72386,AR,640,46662.5
72390,AR,3000,32087.0
72392,AR,160,45275.0
72394,AR,180,40294.44
72395,AR,380,59376.32
72396,AR,5110,49100.39
72401,AR,21070,51416.66
72404,AR,12020,76561.56
72410,AR,150,38713.33
72411,AR,860,43148.84
72412,AR,210,46666.67
72413,AR,190,35194.74
72414,AR,160,48400.0
72415,AR,510,46094.12
72416,AR,2270,48537.89
72417,AR,2170,49531.8
72419,AR,570,46028.07
72421,AR,200,36085.0
72422,AR,1640,43306.71
72425,AR,140,38628.57
72429,AR,120,53858.33
72430,AR,130,46976.92
72432,AR,2270,45012.78
72433,AR,950,37849.47
72434,AR,760,41514.47
72435,AR,130,43961.54
72436,AR,390,43641.03
72437,AR,1320,47125.76
72438,AR,880,46980.68
72440,AR,140,43557.14
72442,AR,1780,57217.42
72443,AR,1060,42563.21
72444,AR,630,38636.51
72447,AR,700,54084.29
72450,AR,14940,51377.31
72454,AR,1900,44962.11
72455,AR,5170,44886.85
72456,AR,180,38450.0
72458,AR,230,40547.83
72459,AR,430,39011.63
72460,AR,250,44696.0
72461,AR,1260,47726.19
72466,AR,440,48315.91
72469,AR,360,44858.33
72470,AR,120,45458.33
72471,AR,360,43075.0
72472,AR,3340,40960.18
72473,AR,900,42712.22
72476,AR,2490,45140.56
72479,AR,490,53959.18
72482,AR,380,38978.95
72501,AR,9820,53515.68
72512,AR,780,39337.18
72513,AR,990,45909.09
72517,AR,130,42892.31
72519,AR,930,44055.91
72520,AR,100,39330.0
72521,AR,1820,43917.03
72522,AR,150,50280.0
72523,AR,340,44200.0
72524,AR,150,49026.67
72527,AR,260,45023.08
72529,AR,1580,40062.66
72530,AR,710,46260.56
72531,AR,270,49529.63
72532,AR,560,41860.71
72533,AR,110,32972.73
72534,AR,480,50495.83
72536,AR,160,43031.25
72537,AR,330,44509.09
72538,AR,140,45057.14
72539,AR,160,41731.25
72542,AR,1430,40145.45
72543,AR,5070,52563.71
72544,AR,250,44196.0
72550,AR,310,52054.84
72554,AR,1020,40345.1
72556,AR,1390,50872.66
72560,AR,3320,43352.41
72561,AR,320,47556.25
72562,AR,830,44826.51
72564,AR,170,41447.06
72565,AR,280,37846.43
72566,AR,180,46244.44
72567,AR,120,33950.0
72568,AR,670,44820.9
72569,AR,170,38435.29
72571,AR,130,57792.31
72573,AR,120,43408.33
72576,AR,1430,43591.61
72577,AR,230,44926.09
72579,AR,570,48538.6
72581,AR,390,54217.95
72583,AR,570,41410.53
72584,AR,200,37030.0
72601,AR,11500,50009.74
72611,AR,680,44302.94
72616,AR,4370,44560.64
72619,AR,810,45724.69
72623,AR,240,44475.0
72624,AR,170,39117.65
72626,AR,460,53271.74
72628,AR,230,41008.7
72629,AR,210,38842.86
72631,AR,1830,52631.15
72632,AR,2070,50312.08
72633,AR,600,44036.67
72634,AR,1930,44846.11
72635,AR,1490,42755.7
72638,AR,2970,42150.51
72639,AR,150,35886.67
72640,AR,130,41176.92
72641,AR,910,40976.92
72642,AR,850,50020.0
72644,AR,930,41350.54
72645,AR,600,36721.67
72648,AR,270,36096.3
72650,AR,1600,35294.38
72651,AR,520,42723.08
72653,AR,11900,53046.05
72655,AR,160,31037.5
72658,AR,660,46784.85
72660,AR,190,44294.74
72661,AR,210,49147.62
72662,AR,1250,45482.4
72663,AR,110,35863.64
72666,AR,110,40172.73
72668,AR,170,45600.0
72675,AR,490,38506.12
72679,AR,220,28350.0
72680,AR,290,36868.97
72682,AR,210,39680.95
72683,AR,120,32783.33
72685,AR,480,40037.5
72687,AR,2250,43288.0
72701,AR,15610,67920.37
72703,AR,14940,88381.06
